"codigo_vn","hora","numero de factura","dinero_generado","codigo_ep","codigo_cl","codigo_mc","precio","date","origen"
"VNjun19   ","2:00                                              ","2019_6_525                                        ",15,"p06       ","cl03      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","5:00                                              ","2019_6_526                                        ",15,"p06       ","cl14      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","5:00                                              ","2019_6_526                                        ",15,"p06       ","cl14      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_527                                        ",15,"p01       ","cl14      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_527                                        ",15,"p01       ","cl14      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_527                                        ",15,"p01       ","cl14      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_528                                        ",15,"p02       ","cl07      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","16:00                                             ","2019_6_529                                        ",15,"p03       ","cl15      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","16:00                                             ","2019_6_529                                        ",15,"p03       ","cl15      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","23:00                                             ","2019_6_530                                        ",15,"p04       ","cl07      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","23:00                                             ","2019_6_530                                        ",15,"p04       ","cl07      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","23:00                                             ","2019_6_530                                        ",15,"p04       ","cl07      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","9:00                                              ","2019_6_531                                        ",15,"p03       ","cl14      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_532                                        ",15,"p06       ","cl01      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_532                                        ",15,"p06       ","cl01      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","16:00                                             ","2019_6_533                                        ",15,"p05       ","cl09      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","16:00                                             ","2019_6_533                                        ",15,"p05       ","cl09      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","16:00                                             ","2019_6_533                                        ",15,"p05       ","cl09      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","7:00                                              ","2019_6_534                                        ",15,"p01       ","cl09      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_535                                        ",15,"p05       ","cl14      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_535                                        ",15,"p05       ","cl14      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","7:00                                              ","2019_6_536                                        ",15,"p06       ","cl15      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","7:00                                              ","2019_6_536                                        ",15,"p06       ","cl15      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","7:00                                              ","2019_6_536                                        ",15,"p06       ","cl15      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_537                                        ",15,"p03       ","cl01      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_538                                        ",15,"p06       ","cl09      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_538                                        ",15,"p06       ","cl09      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_539                                        ",15,"p04       ","cl12      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_539                                        ",15,"p04       ","cl12      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_539                                        ",15,"p04       ","cl12      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_540                                        ",15,"p03       ","cl05      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_541                                        ",15,"p06       ","cl05      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_541                                        ",15,"p06       ","cl05      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_542                                        ",15,"p02       ","cl14      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_542                                        ",15,"p02       ","cl14      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_542                                        ",15,"p02       ","cl14      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","00:00                                             ","2019_6_543                                        ",15,"p03       ","cl02      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","19:00                                             ","2019_6_544                                        ",15,"p03       ","cl14      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","19:00                                             ","2019_6_544                                        ",15,"p03       ","cl14      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_545                                        ",15,"p04       ","cl03      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_545                                        ",15,"p04       ","cl03      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_545                                        ",15,"p04       ","cl03      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","7:00                                              ","2019_6_546                                        ",15,"p04       ","cl09      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","18:00                                             ","2019_6_547                                        ",15,"p01       ","cl09      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","18:00                                             ","2019_6_547                                        ",15,"p01       ","cl09      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_548                                        ",15,"p05       ","cl02      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_548                                        ",15,"p05       ","cl02      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_548                                        ",15,"p05       ","cl02      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","9:00                                              ","2019_6_549                                        ",15,"p04       ","cl06      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","21:00                                             ","2019_6_550                                        ",15,"p02       ","cl07      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","21:00                                             ","2019_6_550                                        ",15,"p02       ","cl07      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","5:00                                              ","2019_6_551                                        ",15,"p02       ","cl13      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","5:00                                              ","2019_6_551                                        ",15,"p02       ","cl13      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","5:00                                              ","2019_6_551                                        ",15,"p02       ","cl13      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","13:00                                             ","2019_6_552                                        ",15,"p02       ","cl01      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_553                                        ",15,"p06       ","cl01      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_553                                        ",15,"p06       ","cl01      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_554                                        ",15,"p01       ","cl11      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_554                                        ",15,"p01       ","cl11      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_554                                        ",15,"p01       ","cl11      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_555                                        ",15,"p01       ","cl05      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_556                                        ",15,"p06       ","cl14      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_556                                        ",15,"p06       ","cl14      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","19:00                                             ","2019_6_557                                        ",15,"p06       ","cl07      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","19:00                                             ","2019_6_557                                        ",15,"p06       ","cl07      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","19:00                                             ","2019_6_557                                        ",15,"p06       ","cl07      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","16:00                                             ","2019_6_558                                        ",15,"p03       ","cl09      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","21:00                                             ","2019_6_559                                        ",15,"p02       ","cl03      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","21:00                                             ","2019_6_559                                        ",15,"p02       ","cl03      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_560                                        ",15,"p01       ","cl13      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_560                                        ",15,"p01       ","cl13      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_560                                        ",15,"p01       ","cl13      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","15:00                                             ","2019_6_561                                        ",15,"p04       ","cl01      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","14:00                                             ","2019_6_562                                        ",15,"p03       ","cl07      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","14:00                                             ","2019_6_562                                        ",15,"p03       ","cl07      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_563                                        ",15,"p02       ","cl10      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_563                                        ",15,"p02       ","cl10      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_563                                        ",15,"p02       ","cl10      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_564                                        ",15,"p04       ","cl14      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_565                                        ",15,"p06       ","cl05      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_565                                        ",15,"p06       ","cl05      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_566                                        ",15,"p06       ","cl12      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_566                                        ",15,"p06       ","cl12      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_566                                        ",15,"p06       ","cl12      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","9:00                                              ","2019_6_567                                        ",15,"p06       ","cl06      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","13:00                                             ","2019_6_568                                        ",15,"p03       ","cl09      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","13:00                                             ","2019_6_568                                        ",15,"p03       ","cl09      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_569                                        ",15,"p01       ","cl02      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_569                                        ",15,"p01       ","cl02      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_569                                        ",15,"p01       ","cl02      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","8:00                                              ","2019_6_570                                        ",15,"p06       ","cl12      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","3:00                                              ","2019_6_571                                        ",15,"p02       ","cl02      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","3:00                                              ","2019_6_571                                        ",15,"p02       ","cl02      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","13:00                                             ","2019_6_572                                        ",15,"p05       ","cl07      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","13:00                                             ","2019_6_572                                        ",15,"p05       ","cl07      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","13:00                                             ","2019_6_572                                        ",15,"p05       ","cl07      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_573                                        ",15,"p02       ","cl15      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_574                                        ",15,"p02       ","cl12      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_574                                        ",15,"p02       ","cl12      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_575                                        ",15,"p02       ","cl13      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_575                                        ",15,"p02       ","cl13      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_575                                        ",15,"p02       ","cl13      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_576                                        ",15,"p02       ","cl11      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_577                                        ",15,"p05       ","cl14      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_577                                        ",15,"p05       ","cl14      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_578                                        ",15,"p05       ","cl14      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_578                                        ",15,"p05       ","cl14      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_578                                        ",15,"p05       ","cl14      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_579                                        ",15,"p02       ","cl07      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_580                                        ",15,"p04       ","cl01      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_580                                        ",15,"p04       ","cl01      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","14:00                                             ","2019_6_581                                        ",15,"p03       ","cl06      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","14:00                                             ","2019_6_581                                        ",15,"p03       ","cl06      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","14:00                                             ","2019_6_581                                        ",15,"p03       ","cl06      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","15:00                                             ","2019_6_582                                        ",15,"p04       ","cl14      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_583                                        ",15,"p01       ","cl02      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","6:00                                              ","2019_6_583                                        ",15,"p01       ","cl02      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_584                                        ",15,"p05       ","cl05      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_584                                        ",15,"p05       ","cl05      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_584                                        ",15,"p05       ","cl05      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_585                                        ",15,"p01       ","cl13      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","8:00                                              ","2019_6_586                                        ",15,"p01       ","cl02      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","8:00                                              ","2019_6_586                                        ",15,"p01       ","cl02      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_587                                        ",15,"p05       ","cl08      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_587                                        ",15,"p05       ","cl08      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_587                                        ",15,"p05       ","cl08      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_588                                        ",15,"p06       ","cl09      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_589                                        ",15,"p02       ","cl01      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_589                                        ",15,"p02       ","cl01      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_590                                        ",15,"p05       ","cl09      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_590                                        ",15,"p05       ","cl09      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_590                                        ",15,"p05       ","cl09      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_591                                        ",15,"p03       ","cl15      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_592                                        ",15,"p06       ","cl07      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_592                                        ",15,"p06       ","cl07      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_593                                        ",15,"p05       ","cl09      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_593                                        ",15,"p05       ","cl09      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_593                                        ",15,"p05       ","cl09      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","15:00                                             ","2019_6_594                                        ",15,"p04       ","cl11      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","15:00                                             ","2019_6_595                                        ",15,"p04       ","cl04      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","15:00                                             ","2019_6_595                                        ",15,"p04       ","cl04      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","3:00                                              ","2019_6_596                                        ",15,"p04       ","cl11      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","3:00                                              ","2019_6_596                                        ",15,"p04       ","cl11      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","3:00                                              ","2019_6_596                                        ",15,"p04       ","cl11      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_597                                        ",15,"p03       ","cl13      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","15:00                                             ","2019_6_598                                        ",15,"p05       ","cl13      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","15:00                                             ","2019_6_598                                        ",15,"p05       ","cl13      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_599                                        ",15,"p04       ","cl02      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_599                                        ",15,"p04       ","cl02      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_599                                        ",15,"p04       ","cl02      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_600                                        ",15,"p04       ","cl07      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","13:00                                             ","2019_6_601                                        ",15,"p01       ","cl13      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","13:00                                             ","2019_6_601                                        ",15,"p01       ","cl13      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_602                                        ",15,"p04       ","cl07      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_602                                        ",15,"p04       ","cl07      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_602                                        ",15,"p04       ","cl07      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","22:00                                             ","2019_6_603                                        ",15,"p03       ","cl09      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
